بیکار,idle,مشغول,busy
غیرقانونی,illegal,قانونی,lawful
خیالی,imaginary,واقعی,real
زندانی,imprison,آزاد,free
شامل,include,محروم,exclude
چب,left,راست,right
بااحتیاط,careful,احتیاط,careless
شروع,beginning,پایان,end
آغاز,beginning,پایان,end
ماندن,stay,رفتن,go
توقف,stop,حرکت,go
مستقیم,straight,کج,crooked
داخل,in,بيرون,out
داخل,inside,داخل,outside
مهربان,kind,نامهربان,mean
پادشاه,king,ملکه,queen
علم,knowledge,جهل,ignorance
شناس,known,ناشناس,unknown
بزرگ,large,کوچک,small
آخری,last,اولی,first
خنده,laugh,گریه,cry
تنبل,lazy,زرنگ,industrious
بیگانه,stranger,دوست,friend
قوی,strong,ضعیف,weak
تابستان,summer,زمستان,winter
آفتاب,sun,مهتاب,moon
شیرین,sweet,شور,sour
پایین,beneath,بالا,above
عالی,best,بدترین,worst
تلخ,bitter,شیرین,sweet
سیاه,black,سفید,white
پایین,bottom,بالا,top
پسر,boy,دختر,girl
شجاع,brave,ترسو,scared
خیس,wet,خشک,dry
مطمئن,certain,نامطمئن,uncertain
خوشحال,happy,ناراحت,sad
شهر,city,دهات,country
بسته,closed,باز,open
سرد,cold,گرم,hot
روشن,on,خاموش,off
جوان,young,پیر,old
خوب,good,بد,bad
کوچیک,small,بزرگ,big
خوشگل,beautiful,زشت,ugly
زیبا,beautiful,زشت,ugly
قشنگ,beautiful,زشت,ugly
آسان,easy,سخت,hard
زود,early,دیر,late
خواب,asleep,بیدار,awak
نو,new,قدیمی,old
جدید,new,قدیمی,old
نزدیک,,دور,far
ارزون,cheap,گرون,expensive
بیکار,idle,مشغول,busy
غیرقانونی,illegal,قانونی,lawful
خیالی,imaginary,واقعی,real
زندانی,imprison,آزاد,free
شامل,include,محروم,exclude
چب,left,راست,right
بااحتیاط,careful,احتیاط,careless
شروع,beginning,پایان,end
آغاز,beginning,پایان,end
ماندن,stay,رفتن,go
توقف,stop,حرکت,go
مستقیم,straight,کج,crooked
داخل,in,بيرون,out
داخل,inside,داخل,outside
مهربان,kind,نامهربان,mean
پادشاه,king,ملکه,queen
علم,knowledge,جهل,ignorance
شناس,known,ناشناس,unknown
بزرگ,large,کوچک,small
آخری,last,اولی,first
خنده,laugh,گریه,cry
تنبل,lazy,زرنگ,industrious
بیگانه,stranger,دوست,friend
قوی,strong,ضعیف,weak
تابستان,summer,زمستان,winter
آفتاب,sun,مهتاب,moon
شیرین,sweet,شور,sour
پایین,beneath,بالا,above
عالی,best,بدترین,worst
تلخ,bitter,شیرین,sweet
سیاه,black,سفید,white
پایین,bottom,بالا,top
پسر,boy,دختر,girl
شجاع,brave,ترسو,scared
خیس,wet,خشک,dry
مطمئن,certain,نامطمئن,uncertain
خوشحال,happy,ناراحت,sad
شهر,city,دهات,country
بسته,closed,باز,open
سرد,cold,گرم,hot
روشن,on,خاموش,off
جوان,young,پیر,old
خوب,good,بد,bad
کوچیک,small,بزرگ,big
خوشگل,beautiful,زشت,ugly
زیبا,beautiful,زشت,ugly
قشنگ,beautiful,زشت,ugly
آسان,easy,سخت,hard
زود,early,دیر,late
خواب,asleep,بیدار,awak
نو,new,قدیمی,old
جدید,new,قدیمی,old
نزدیک,,دور,far
ارزون,cheap,گرون,expensive
بیکار,idle,مشغول,busy
غیرقانونی,illegal,قانونی,lawful
خیالی,imaginary,واقعی,real
زندانی,imprison,آزاد,free
شامل,include,محروم,exclude
چب,left,راست,right
بااحتیاط,careful,احتیاط,careless
شروع,beginning,پایان,end
آغاز,beginning,پایان,end
ماندن,stay,رفتن,go
توقف,stop,حرکت,go
مستقیم,straight,کج,crooked
داخل,in,بيرون,out
داخل,inside,داخل,outside
مهربان,kind,نامهربان,mean
پادشاه,king,ملکه,queen
علم,knowledge,جهل,ignorance
شناس,known,ناشناس,unknown
بزرگ,large,کوچک,small
آخری,last,اولی,first
خنده,laugh,گریه,cry
تنبل,lazy,زرنگ,industrious
بیگانه,stranger,دوست,friend
قوی,strong,ضعیف,weak
تابستان,summer,زمستان,winter
آفتاب,sun,مهتاب,moon
شیرین,sweet,شور,sour
پایین,beneath,بالا,above
عالی,best,بدترین,worst
تلخ,bitter,شیرین,sweet
سیاه,black,سفید,white
پایین,bottom,بالا,top
پسر,boy,دختر,girl
شجاع,brave,ترسو,scared
خیس,wet,خشک,dry
مطمئن,certain,نامطمئن,uncertain
خوشحال,happy,ناراحت,sad
شهر,city,دهات,country
بسته,closed,باز,open
سرد,cold,گرم,hot
روشن,on,خاموش,off
جوان,young,پیر,old
خوب,good,بد,bad
کوچیک,small,بزرگ,big
خوشگل,beautiful,زشت,ugly
زیبا,beautiful,زشت,ugly
قشنگ,beautiful,زشت,ugly
آسان,easy,سخت,hard
زود,early,دیر,late
خواب,asleep,بیدار,awak
نو,new,قدیمی,old
جدید,new,قدیمی,old
نزدیک,,دور,far
ارزون,cheap,گرون,expensive
بیکار,idle,مشغول,busy
غیرقانونی,illegal,قانونی,lawful
خیالی,imaginary,واقعی,real
زندانی,imprison,آزاد,free
شامل,include,محروم,exclude
چب,left,راست,right
بااحتیاط,careful,احتیاط,careless
شروع,beginning,پایان,end
آغاز,beginning,پایان,end
ماندن,stay,رفتن,go
توقف,stop,حرکت,go
مستقیم,straight,کج,crooked
داخل,in,بيرون,out
داخل,inside,داخل,outside
مهربان,kind,نامهربان,mean
پادشاه,king,ملکه,queen
علم,knowledge,جهل,ignorance
شناس,known,ناشناس,unknown
بزرگ,large,کوچک,small
آخری,last,اولی,first
خنده,laugh,گریه,cry
تنبل,lazy,زرنگ,industrious
بیگانه,stranger,دوست,friend
قوی,strong,ضعیف,weak
تابستان,summer,زمستان,winter
آفتاب,sun,مهتاب,moon
شیرین,sweet,شور,sour
پایین,beneath,بالا,above
عالی,best,بدترین,worst
تلخ,bitter,شیرین,sweet
سیاه,black,سفید,white
پایین,bottom,بالا,top
پسر,boy,دختر,girl
شجاع,brave,ترسو,scared
خیس,wet,خشک,dry
مطمئن,certain,نامطمئن,uncertain
خوشحال,happy,ناراحت,sad
شهر,city,دهات,country
بسته,closed,باز,open
سرد,cold,گرم,hot
روشن,on,خاموش,off
جوان,young,پیر,old
خوب,good,بد,bad
کوچیک,small,بزرگ,big
خوشگل,beautiful,زشت,ugly
زیبا,beautiful,زشت,ugly
قشنگ,beautiful,زشت,ugly
آسان,easy,سخت,hard
زود,early,دیر,late
خواب,asleep,بیدار,awak
نو,new,قدیمی,old
جدید,new,قدیمی,old
نزدیک,,دور,far
ارزون,cheap,گرون,expensive